,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
154,Avatar: The Last Airbender,Zach Tyler, Mae Whitman, Jack De Sena, Dante Basco,Animation, Fantasy, Adventure,2005.0,10.0,Ethan Spaulding,23.0
155,Avatar,Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang,Action, Adventure, Fantasy,2009.0,7.58,Josh McLaglen,162.0
156,Avatar: The Way of Water,Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang,Sci-Fi, Adventure, Action,2022.0,7.631,James Cameron,192.0
158,Open Range,Kevin Costner, Robert Duvall, Michael Gambon, Michael Jeter,Western, Action, Drama,2003.0,7.2,Alan Geoffrion,139.0
159,Open Season,Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing,Animation, Family, Adventure,2006.0,6.15,Jill Culton,86.0
161,Open Your Eyes,Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez,Drama, Thriller, Sci-Fi,1997.0,7.451,Carmen Soriano,117.0
162,Open Water,Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson,Drama, Thriller, Horror,2003.0,5.4,Chris Kentis,79.0
163,Open Marriage,Tilky Jones, Nikki Leigh, Kelly Dowdle, Jason Tobias,Thriller, TV Movie, Action,2017.0,4.0,Sam Irvin,81.0
164,Open Grave,Sharlto Copley, Joseph Morgan, Thomas Kretschmann, Erin Richards,Horror, Thriller, Mystery,2013.0,5.939,Orsolya Vercz,102.0
166,Oppenheimer,Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.,Drama, History, Action,2023.0,8.114,Richard Molloy,181.0
167,Barbie,Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt,Comedy, Adventure, Action,2023.0,7.103,Josh Robertson,114.0
168,Barbie as The Princess & the Pauper,Kelly Sheridan, Melissa Lyons, Julie Stevens, Mark Hildreth,Animation, Family, Comedy,2004.0,7.463,William Lau,85.0
169,Barbie in the Nutcracker,Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis,Animation, Family, Musical,2001.0,6.84,Owen Hurley,77.0
170,Barbie as Rapunzel,Kelly Sheridan, Anjelica Huston, Cree Summer, Ian James Corlett,Animation, Family, Fantasy,2002.0,6.9,Owen Hurley,84.0
177,Padi Padi Leche Manasu,Sharwanand, Sai Pallavi, Murli Sharma, Priya Raman,Romance, Drama,unknown,2018.0,6.6,Hanu Raghavapudi,160.0
179,Demon Slayer: Kimetsu no Yaiba Mt. Natagumo Arc,Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka,Action, Animation, Drama,2021.0,8.147,Haruo Sotozaki,138.0
182,Sound of the Mountain,Setsuko Hara, Sō Yamamura, Ken Uehara, Yôko Sugi,Drama,unknown,unknown,1954.0,7.5,Mikio Naruse,96.0
183,A Distant Cry from Spring,Ken Takakura, Hidetaka Yoshioka, Chieko Baisho, Tetsuya Takeda,Drama,unknown,unknown,1980.0,7.3,Yoji Yamada,123.0
184,Yamasong: March of the Hollows,Abigail Breslin, Nathan Fillion, Freida Pinto, Peter Weller,Animation, Fantasy, Adventure,2017.0,4.1,Sam Koji Hale,95.0
191,Donga,unknown,unknown,unknown,unknown,Documentary, History, War,2023.0,0.0,Muhannad Lamin,90.0
196,Tokyo Videos of Horror,Kouta Takagi, Hajime Izuki,unknown,unknown,Horror,unknown,unknown,2012.0,5.5,Kazuto Kodama,64.0
197,Tokyo Videos of Horror 6,unknown,unknown,unknown,unknown,Horror,unknown,unknown,2013.0,0.0,Kazuto Kodama,66.0
198,Tokyo Videos of Horror 2,Saki Mikami, Yuta Sasaki,unknown,unknown,Horror,unknown,unknown,2012.0,6.75,Kazuto Kodama,60.0
200,Yami Douga 8,unknown,unknown,unknown,unknown,Horror,unknown,unknown,2013.0,0.0,unknown,73.0
208,Shazam!,Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer,Action, Comedy, Fantasy,2019.0,7.024,David F. Sandberg,132.0
209,Thankam,Biju Menon, Vineeth Sreenivasan, Aparna Balamurali, Girish Kulkarni,Drama, Crime,unknown,2023.0,9.5,Prinish Prabhakaran,145.0
210,The Shawshank Redemption,Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler,Drama, Crime, Action,1994.0,8.7,Frank Darabont,142.0
211,Bhola Shankar,Chiranjeevi, Keerthy Suresh, Tamannaah Bhatia, Sushanth,Action, Crime, Drama,2023.0,8.0,Meher Ramesh,158.0
212,Agent Sai Srinivasa Athreya,Naveen Polishetty, Shruti Sharma, Suhas, Krishneswara Rao,Crime, Comedy, Mystery,2019.0,7.1,Swaroop RSJ,144.0
215,Agents of S.H.I.E.L.D.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
